Cartera,Subdirección,Zona,Sucursal,Corte,Plazo,Suma de Monto,Capital,Interes,Total,Tasa de Ganancia,Vales
Vale Amigo,Noreste,San Luis,Matehuala,07/05/2026,6,50000,50000,10500,60500,21.00%,6
Vale Amigo,Noreste,Tamaulipas,Altamira,07/05/2026,6,257000,257000,53295,310295,20.74%,32
Vale Amigo,Noreste,Tamaulipas,Tampico Norte,07/05/2026,6,435000,435000,86790,521790,19.95%,54
Vale Amigo,Noreste,Tampico,Tampico Centro,07/05/2026,6,212000,212000,42210,254210,19.91%,26
Vale Amigo,Noreste,Tampico,Tampico Madero,07/05/2026,6,281000,281000,56160,337160,19.99%,35
Vale Amigo,Pacifico,Digital Baja Sur,Loreto Digital,07/05/2026,6,39000,39000,7740,46740,19.85%,5
Vale Amigo,Pacifico,Digital Baja Sur,Vizcaino Digital,07/05/2026,6,8000,8000,1680,9680,21.00%,1
Vale Amigo,Pacifico,Digital Sonora Norte 2,Cananea Digital,07/05/2026,6,61000,61000,12510,73510,20.51%,8
Vale Amigo,Pacifico,Digital Sonora Norte 2,Imuris Digital,07/05/2026,6,6000,6000,1260,7260,21.00%,1
Vale Amigo,Pacifico,Digital Sonora Norte 2,Nogales,07/05/2026,6,134000,134000,26700,160700,19.93%,16
Vale Amigo,Pacifico,Digital Sonora Norte 2,Santa Ana Digital,07/05/2026,6,48000,48000,10080,58080,21.00%,6
Vale Amigo,Pacifico,La Paz 1,La Paz,07/05/2026,6,230000,230000,46635,276635,20.28%,32
Vale Amigo,Pacifico,La Paz 1,La Paz 2,07/05/2026,6,160000,160000,31440,191440,19.65%,20
Vale Amigo,Pacifico,La Paz 2,Cd.Constitución,07/05/2026,6,58000,58000,11580,69580,19.97%,7
Vale Amigo,Pacifico,La Paz 2,La Paz 3,07/05/2026,6,90000,90000,17820,107820,19.80%,11
Vale Amigo,Pacifico,Los Cabos,Cabo San Lucas,07/05/2026,6,248000,248000,51630,299630,20.82%,32
Vale Amigo,Pacifico,Los Cabos,San Jose Del Cabo,07/05/2026,6,231000,231000,46140,277140,19.97%,28
Vale Amigo,Pacifico,Mazatlan,La Cruz,07/05/2026,6,229000,229000,47610,276610,20.79%,30
Vale Amigo,Pacifico,Mazatlan,Mazatlán Centro,07/05/2026,6,411000,411000,86310,497310,21.00%,55
Vale Amigo,Pacifico,Mazatlan,Rosario,07/05/2026,6,27000,27000,5250,32250,19.44%,3
Vale Amigo,Pacifico,Obregon,Obregón Centro 1,07/05/2026,6,230000,230000,48300,278300,21.00%,30
Vale Amigo,Pacifico,Obregon,Obregón Esperanza,07/05/2026,6,144000,144000,30240,174240,21.00%,19
Vale Amigo,Pacifico,Obregon,Obregón Perisur,07/05/2026,6,325000,325000,65100,390100,20.03%,41
Vale Amigo,Pacifico,Sinaloa Centro,Culiacán Centro,07/05/2026,6,214000,214000,42870,256870,20.03%,24
Vale Amigo,Pacifico,Sinaloa Centro,Culiacán San Isidro,07/05/2026,6,405000,405000,80970,485970,19.99%,43
Vale Amigo,Pacifico,Sinaloa Centro,Guamuchil,07/05/2026,6,129000,129000,26340,155340,20.42%,17
Vale Amigo,Pacifico,Sinaloa Sur 1,Costa Rica,07/05/2026,6,176000,176000,32070,208070,18.22%,27
Vale Amigo,Pacifico,Sinaloa Sur 1,El Dorado,07/05/2026,6,104000,104000,20520,124520,19.73%,12
Vale Amigo,Pacifico,Sinaloa Sur 1,Navolato,07/05/2026,6,378000,378000,78900,456900,20.87%,49
Vale Amigo,Pacifico,Sonora Centro,Empalme,07/05/2026,6,77000,77000,15900,92900,20.65%,10
Vale Amigo,Pacifico,Sonora Centro,Guaymas,07/05/2026,6,315000,315000,64950,379950,20.62%,45
Vale Amigo,Pacifico,Sonora Centro,Hermosillo,07/05/2026,6,179000,179000,37590,216590,21.00%,24
Vale Amigo,Pacifico,Sonora Norte 1,Caborca,07/05/2026,6,148000,148000,30120,178120,20.35%,19
Vale Amigo,Pacifico,Sonora Norte 1,Magdalena,07/05/2026,6,81000,81000,16785,97785,20.72%,11
Vale Amigo,Pacifico,Sonora Sur,Huatabampo,07/05/2026,6,194000,194000,40380,234380,20.81%,25
Vale Amigo,Pacifico,Sonora Sur,Navojoa,07/05/2026,6,145000,145000,30150,175150,20.79%,17
Vale Amigo,Por Asignar,Por Asignar,Por Asignar,07/05/2026,6,265000,265000,55650,320650,21.00%,39
Vale Amigo,Sureste,Digital Veracruz Norte,Huachinango Digital,07/05/2026,6,8000,8000,1680,9680,21.00%,1
Vale Amigo,Sureste,Digital Veracruz Norte,Martínez de la Torre Digital,07/05/2026,6,68000,68000,14280,82280,21.00%,8
Vale Amigo,Sureste,Digital Veracruz Norte,Papantla Digital,07/05/2026,6,37000,37000,7770,44770,21.00%,5
Vale Amigo,Sureste,Digital Veracruz Norte,Veracruz Digital,07/05/2026,6,16000,16000,3360,19360,21.00%,2
Vale Amigo,Sureste,Tabasco Centro,Macuspana,07/05/2026,6,337000,337000,68220,405220,20.24%,40
Vale Amigo,Sureste,Tabasco Centro,Teapa,07/05/2026,6,192000,192000,40320,232320,21.00%,29
Vale Amigo,Sureste,Tabasco Centro,Villahermosa,07/05/2026,6,266000,266000,54660,320660,20.55%,37
Vale Amigo,Sureste,Tabasco Centro,Villahermosa 2,07/05/2026,6,260000,260000,54240,314240,20.86%,35
Vale Amigo,Sureste,Tabasco Norte,Cardenas,07/05/2026,6,539000,539000,112320,651320,20.84%,74
Vale Amigo,Sureste,Tabasco Norte,Comalcalco,07/05/2026,6,162000,162000,33150,195150,20.46%,19
Vale Amigo,Sureste,Tabasco Norte,Paraiso,07/05/2026,6,98000,98000,20280,118280,20.69%,13
Vale Amigo,Sureste,Veracruz Centro,Cordoba,07/05/2026,6,487000,487000,100575,587575,20.65%,62
Vale Amigo,Sureste,Veracruz Centro,Orizaba,07/05/2026,6,259000,259000,52380,311380,20.22%,33
Vale Amigo,Sureste,Veracruz Norte,Poza Rica,07/05/2026,6,570000,570000,118080,688080,20.72%,72
Vale Amigo,Sureste,Veracruz Norte,Tuxpan,07/05/2026,6,175000,175000,36510,211510,20.86%,22
Vale Amigo,Sureste,Veracruz Sur,Acayucan,07/05/2026,6,274000,274000,57540,331540,21.00%,33
Vale Amigo,Sureste,Veracruz Sur,Coatzacoalcos,07/05/2026,6,332000,332000,66690,398690,20.09%,41
Vale Amigo,Sureste,Veracruz Sur,Minatitlán,07/05/2026,6,294000,294000,60120,354120,20.45%,39
Viva Vale,Bajio,Morelia,Celaya,07/05/2026,6,128000,128000,26880,154880,21.00%,16
Viva Vale,Bajio,Morelia,Morelia,07/05/2026,6,157000,157000,32970,189970,21.00%,20
Viva Vale,Bajio,Morelia,Uruapan,07/05/2026,6,32000,32000,6720,38720,21.00%,4
Viva Vale,Bajio,Sinaloa Sur 2,Escuinapa,07/05/2026,6,132000,132000,27720,159720,21.00%,23
Viva Vale,Bajio,Tepic,Tepic,07/05/2026,6,28000,28000,5880,33880,21.00%,5
Viva Vale,Chihuahua,Chihuahua Centro,Chihuahua Centro,07/05/2026,6,208000,208000,43680,251680,21.00%,32
Viva Vale,Chihuahua,Chihuahua Centro,Cuauhtemoc,07/05/2026,6,367000,367000,77070,444070,21.00%,68
Viva Vale,Chihuahua,Chihuahua Centro,Parral,07/05/2026,6,150000,150000,31500,181500,21.00%,21
Viva Vale,Chihuahua,Chihuahua Norte,Casas Grandes,07/05/2026,6,88000,88000,18480,106480,21.00%,11
Viva Vale,Chihuahua,Chihuahua Norte,Cd. Juárez 2,07/05/2026,6,40000,40000,8400,48400,21.00%,5
Viva Vale,Chihuahua,Chihuahua Sur,Camargo,07/05/2026,6,25000,25000,5250,30250,21.00%,3
Viva Vale,Chihuahua,Chihuahua Sur,Delicias,07/05/2026,6,172000,172000,36120,208120,21.00%,28
Viva Vale,Chihuahua,Chihuahua Sur,Jimenez,07/05/2026,6,32000,32000,6720,38720,21.00%,5
Viva Vale,Chihuahua,Chihuahua Sur,Meoqui,07/05/2026,6,99000,99000,20790,119790,21.00%,16
Viva Vale,Noreste,Coahuila Norte,Monclova,07/05/2026,6,157000,157000,32970,189970,21.00%,28
Viva Vale,Noreste,Saltillo/Nuevo Leon,Cadereyta,07/05/2026,6,222000,222000,46620,268620,21.00%,36
Viva Vale,Noreste,Saltillo/Nuevo Leon,Saltillo,07/05/2026,6,19000,19000,3990,22990,21.00%,2
Viva Vale,Noreste,San Luis,Ciudad Valles,07/05/2026,6,299000,299000,62790,361790,21.00%,54
Viva Vale,Noreste,San Luis,Matehuala,07/05/2026,6,141000,141000,29610,170610,21.00%,18
Viva Vale,Noreste,Tamaulipas,Altamira,07/05/2026,6,207000,207000,43470,250470,21.00%,31
Viva Vale,Noreste,Tampico,Tampico Centro,07/05/2026,6,467000,467000,97410,564410,20.86%,61
Viva Vale,Noreste,Tampico,Tampico Madero,07/05/2026,6,394000,394000,82740,476740,21.00%,51
Viva Vale,Pacifico,Los Cabos,Cabo San Lucas,07/05/2026,6,155000,155000,32550,187550,21.00%,22
Viva Vale,Pacifico,Los Cabos,San Jose Del Cabo,07/05/2026,6,344000,344000,72090,416090,20.96%,43
Viva Vale,Pacifico,Mazatlan,La Cruz,07/05/2026,6,73000,73000,15330,88330,21.00%,11
Viva Vale,Pacifico,Mazatlan,Mazatlán Centro,07/05/2026,6,5000,5000,1050,6050,21.00%,1
Viva Vale,Pacifico,Sinaloa Centro,Culiacán Centro,07/05/2026,6,92000,92000,19320,111320,21.00%,15
Viva Vale,Pacifico,Sinaloa Sur 1,El Dorado,07/05/2026,6,16000,16000,3360,19360,21.00%,2
Viva Vale,Pacifico,Sinaloa Sur 1,Navolato,07/05/2026,6,25000,25000,5250,30250,21.00%,3
Viva Vale,Sureste,Tabasco Centro,Macuspana,07/05/2026,6,182000,182000,38220,220220,21.00%,23
Viva Vale,Sureste,Tabasco Centro,Teapa,07/05/2026,6,134000,134000,28140,162140,21.00%,16
Viva Vale,Sureste,Tabasco Centro,Villahermosa,07/05/2026,6,195000,195000,40800,235800,20.92%,26
Viva Vale,Sureste,Tabasco Norte,Cardenas 2,07/05/2026,6,293000,293000,61530,354530,21.00%,45
Viva Vale,Sureste,Tabasco Norte,Comalcalco,07/05/2026,6,157000,157000,32970,189970,21.00%,21
Viva Vale,Sureste,Tabasco Norte,Paraiso,07/05/2026,6,48000,48000,9900,57900,20.63%,5
Viva Vale,Sureste,Veracruz Centro,Cordoba,07/05/2026,6,280000,280000,58800,338800,21.00%,36
Viva Vale,Sureste,Veracruz Centro,Orizaba,07/05/2026,6,340000,340000,71400,411400,21.00%,50
Viva Vale,Sureste,Veracruz Norte,Poza Rica 2,07/05/2026,6,711000,711000,149070,860070,20.97%,109
Viva Vale,Sureste,Veracruz Norte,Tuxpan,07/05/2026,6,66000,66000,13860,79860,21.00%,9
Viva Vale,Sureste,Veracruz Sur,Acayucan,07/05/2026,6,110000,110000,23100,133100,21.00%,18
Viva Vale,Sureste,Veracruz Sur,Coatzacoalcos 2,07/05/2026,6,258000,258000,54180,312180,21.00%,33
