Cartera,Subdirección,Zona,Sucursal,Corte,Plazo,Suma de Monto,Capital,Interes,Total,Tasa de Ganancia,Vales
Vale Amigo,Sureste,Veracruz Sur,San Andres Tuxtla Digital,22/04/2026,12,24000,24000,13368,37368,55.70%,3
Viva Vale,Bajio,Morelia,Celaya,22/04/2026,12,14912000,14912000,8208364,23120364,55.05%,1965
Viva Vale,Bajio,Morelia,Morelia,22/04/2026,12,22200000,22200000,12047592,34247592,54.27%,2938
Viva Vale,Bajio,Morelia,Uruapan,22/04/2026,12,10678000,10678000,5787384,16465384,54.20%,1449
Viva Vale,Bajio,Sinaloa Sur 2,Escuinapa,22/04/2026,12,19327000,19327000,10566828,29893828,54.67%,2620
Viva Vale,Bajio,Tepic,Tepic,22/04/2026,12,7064000,7064000,3822820,10886820,54.12%,948
Viva Vale,Chihuahua,Chihuahua Centro,Chihuahua Centro,22/04/2026,12,5354000,5354000,2835952,8189952,52.97%,753
Viva Vale,Chihuahua,Chihuahua Centro,Cuauhtemoc,22/04/2026,12,14705000,14705000,8047108,22752108,54.72%,1910
Viva Vale,Chihuahua,Chihuahua Centro,Parral,22/04/2026,12,11845000,11845000,6399784,18244784,54.03%,1664
Viva Vale,Chihuahua,Chihuahua Norte,Casas Grandes,22/04/2026,12,5502000,5502000,3011044,8513044,54.73%,731
Viva Vale,Chihuahua,Chihuahua Norte,Cd. Juárez 2,22/04/2026,12,15121000,15121000,8321296,23442296,55.03%,1993
Viva Vale,Chihuahua,Chihuahua Sur,Camargo,22/04/2026,12,6515000,6515000,3494936,10009936,53.64%,911
Viva Vale,Chihuahua,Chihuahua Sur,Delicias,22/04/2026,12,7427000,7427000,4000304,11427304,53.86%,1033
Viva Vale,Chihuahua,Chihuahua Sur,Jimenez,22/04/2026,12,8729000,8729000,4634548,13363548,53.09%,1262
Viva Vale,Chihuahua,Chihuahua Sur,Meoqui,22/04/2026,12,2794000,2794000,1477452,4271452,52.88%,407
Viva Vale,Noreste,Coahuila Norte,Monclova,22/04/2026,12,22850000,22850000,12507092,35357092,54.74%,2813
Viva Vale,Noreste,Saltillo/Nuevo Leon,Cadereyta,22/04/2026,12,13247000,13247000,7230692,20477692,54.58%,1733
Viva Vale,Noreste,Saltillo/Nuevo Leon,Saltillo,22/04/2026,12,11325000,11325000,6190076,17515076,54.66%,1498
