Corte,Categoria,Capital
01/06/2026,Super,772500
26/06/2026,Diamante,745000
02/06/2026,Embajadora,725000
02/07/2026,Embajadora,693728
27/06/2026,Diamante,681142
01/07/2026,Embajadora,666870
16/06/2026,Super,652000
01/06/2026,Embajadora,642000
15/06/2026,Embajadora,604500
03/07/2026,Embajadora,588686
02/06/2026,Super,580500
16/06/2026,Master,576000
15/06/2026,Super,574500
04/06/2026,Embajadora,564000
02/06/2026,Master,553500
03/06/2026,Embajadora,538000
02/07/2026,Super,533500
18/06/2026,Embajadora,529500
15/06/2026,Master,526000
01/06/2026,Master,519500
06/07/2026,Oro,510000
19/06/2026,Embajadora,509317
14/06/2026,Bronce,486000
18/06/2026,Master,484000
17/06/2026,Super,482500
18/06/2026,Super,477000
10/06/2026,Embajadora,460000
30/06/2026,Super,448000
30/06/2026,Master,447000
06/07/2026,Plata,433500
03/06/2026,Master,430500
04/07/2026,Embajadora,424148
01/07/2026,Super,421000
06/06/2026,Embajadora,416500
28/06/2026,Bronce,415508
19/06/2026,Super,411000
05/07/2026,Bronce,404591
06/07/2026,Junior,401000
17/06/2026,Master,400500
29/06/2026,Embajadora,392380
04/07/2026,Master,392000
03/07/2026,Master,389000
13/06/2026,Master,387500
03/07/2026,Super,385000
01/07/2026,Master,375500
03/06/2026,Super,373000
02/07/2026,Master,372000
06/07/2026,Platino,351280
20/06/2026,Embajadora,349500
21/06/2026,Bronce,334312
24/06/2026,Embajadora,328553
09/06/2026,Embajadora,325000
05/06/2026,Embajadora,321000
04/06/2026,Super,315000
26/06/2026,Embajadora,314452
06/07/2026,Diamante,292000
04/07/2026,Super,291000
13/06/2026,Embajadora,289000
09/06/2026,Master,288000
29/06/2026,Super,279000
14/06/2026,Plata,278500
20/06/2026,Super,276000
08/06/2026,Embajadora,274000
19/06/2026,Master,269500
04/06/2026,Master,267000
25/06/2026,Embajadora,265450
23/06/2026,Embajadora,257358
07/06/2026,Bronce,253000
08/06/2026,Super,249000
12/06/2026,Super,247000
12/06/2026,Embajadora,243000
11/06/2026,Embajadora,242000
05/06/2026,Master,238000
29/06/2026,Master,231000
24/06/2026,Super,225500
28/06/2026,Oro,221172
27/06/2026,Super,214500
27/06/2026,Embajadora,214000
14/06/2026,Oro,207000
22/06/2026,Super,205000
05/06/2026,Super,200500
22/06/2026,Embajadora,199000
09/06/2026,Super,197500
23/06/2026,Super,197500
13/06/2026,Super,196500
10/06/2026,Super,191500
14/06/2026,Diamante,190000
25/06/2026,Super,188500
10/06/2026,Master,181000
12/06/2026,Master,180000
08/06/2026,Master,175000
27/06/2026,Master,168500
20/06/2026,Master,166000
24/06/2026,Master,165000
23/06/2026,Master,163000
11/06/2026,Super,154500
26/06/2026,Master,153000
26/06/2026,Super,151000
05/07/2026,Diamante,149000
05/07/2026,Oro,142312
28/06/2026,Diamante,137209
14/06/2026,Platino,136000
28/06/2026,Plata,133628
22/06/2026,Master,131000
11/06/2026,Master,120000
21/06/2026,Platino,119316
05/07/2026,Platino,119165
06/06/2026,Master,113000
28/06/2026,Platino,109697
25/06/2026,Master,108500
21/06/2026,Plata,108216
07/06/2026,Oro,108000
06/06/2026,Super,106000
21/06/2026,Diamante,102677
21/06/2026,Oro,99077
05/07/2026,Plata,95396
28/06/2026,Junior,95000
07/06/2026,Plata,84000
07/06/2026,Platino,79000
06/07/2026,Embajadora,78000
07/06/2026,Diamante,67500
06/07/2026,Super,46000
14/06/2026,Embajadora,44000
05/07/2026,Junior,39500
06/07/2026,Master,33000
07/06/2026,Embajadora,22000
07/06/2026,Junior,18000
21/06/2026,Master,18000
21/06/2026,Junior,17000
28/06/2026,Super,15000
21/06/2026,Embajadora,12000
05/07/2026,Super,12000
28/06/2026,Embajadora,10000
28/06/2026,Master,8000
07/06/2026,Super,8000
