Sub,Zona,Sucursal,Coordinacion,Marca,Fecha de Corte,Calidad de Cartera H,Colocado PP H,Cartera H,Colocado Neto H,Colocado Neto al Corriente H,Mora H,Distribuidoras Totales H,Distribuidoras al Corriente H,Distribuidoras en Mora H,Clientes Totales H,Clientes al Corriente H,Clientes con H,Var Calidad,Var Colocado Neto,Var Colocado N al Corriente,Var Mora,Var Dist Tot,Var Dist Corriente,Var Dist en Mora,Var Clientes Tot,Var Clientes al Cte,Var H,Recup Calidad,Recup Mora,Recup Dv en Mora
Baja Sonora Norte,Baja Norte,Ensenada,Ensenada A,Vale Amigo,06/06/2026,61.65%,892256,7116460,8008716,4937368,3071348,94,55,39,1467,725,86,61.65%,8008716,4937368,3071348,94,55,39,1467,725,86,61.65%,3071348.13,39
Baja Sonora Norte,Baja Norte,Ensenada,Ensenada B,Vale Amigo,06/06/2026,50.63%,709470,3890687,4600157,2329164,2270993,102,53,49,929,396,,50.63%,4600157,2329164,2270993,102,53,49,929,396,,50.63%,2270992.66,49
Baja Sonora Norte,Baja Norte,Ensenada,Ensenada C,Vale Amigo,06/06/2026,57.67%,1168874,6255982,7424855,4281849,3143006,178,77,101,1521,753,22,57.67%,7424855,4281849,3143006,178,77,101,1521,753,22,57.67%,3143006.29,101
Baja Sonora Norte,Baja Norte,Rosarito,Rosarito A,Vale Amigo,06/06/2026,79.03%,897259,4084344,4981603,3936914,1044690,105,64,41,916,636,,79.03%,4981603,3936914,1044690,105,64,41,916,636,,79.03%,1044689.63,41
Baja Sonora Norte,Baja Norte,Rosarito,Rosarito B,Vale Amigo,06/06/2026,59.04%,866115,4450656,5316771,3139032,2177740,107,53,54,985,491,18,59.04%,5316771,3139032,2177740,107,53,54,985,491,18,59.04%,2177739.83,54
Baja Sonora Norte,Baja Norte,San Quintin,Ejecutivo San Quintin A,Vale Amigo,06/06/2026,100.00%,82437,917468,999905,999905,,21,21,,200,200,,100.00%,999905,999905,,21,21,,200,200,,100.00%,,
Baja Sonora Norte,Baja Norte,Tecate,Tecate A,Vale Amigo,06/06/2026,49.63%,680439,2858240,3538679,1756282,1782397,106,37,69,685,274,14,49.63%,3538679,1756282,1782397,106,37,69,685,274,14,49.63%,1782397.3,69
Baja Sonora Norte,Baja Norte,Tecate,Tecate B,Vale Amigo,06/06/2026,42.56%,679999,2840698,3520697,1498304,2022393,100,35,65,695,252,6,42.56%,3520697,1498304,2022393,100,35,65,695,252,6,42.56%,2022392.87,65
Baja Sonora Norte,Baja Norte,Tijuana,Tijuana A,Vale Amigo,06/06/2026,55.12%,827710,5975463,6803172,3750092,3053081,120,61,59,1351,630,44,55.12%,6803172,3750092,3053081,120,61,59,1351,630,44,55.12%,3053080.63,59
Baja Sonora Norte,Baja Norte,Tijuana,Tijuana B,Vale Amigo,06/06/2026,53.69%,759285,4894442,5653727,3035299,2618428,111,50,61,1161,542,4,53.69%,5653727,3035299,2618428,111,50,61,1161,542,4,53.69%,2618428.26,61
Baja Sonora Norte,Baja Norte,Tijuana,Tijuana C,Vale Amigo,06/06/2026,62.81%,960504,5446852,6407356,4024469,2382887,151,59,92,1310,656,64,62.81%,6407356,4024469,2382887,151,59,92,1310,656,64,62.81%,2382887.18,92
Baja Sonora Norte,Baja Norte,Tijuana 2,Tijuana 2 A,Vale Amigo,06/06/2026,61.35%,1072695,6931022,8003718,4910538,3093180,120,54,66,1532,796,8,61.35%,8003718,4910538,3093180,120,54,66,1532,796,8,61.35%,3093179.9,66
Baja Sonora Norte,Baja Norte,Tijuana 2,Tijuana 2 B,Vale Amigo,06/06/2026,41.58%,1062863,5976052,7038915,2926810,4112105,174,47,127,1568,495,2,41.58%,7038915,2926810,4112105,174,47,127,1568,495,2,41.58%,4112104.63,127
Baja Sonora Norte,Mexicali,Mexicali,Mexicali A,Vale Amigo,06/06/2026,54.73%,1436772,7838172,9274944,5076309,4198636,220,96,124,2012,926,27,54.73%,9274944,5076309,4198636,220,96,124,2012,926,27,54.73%,4198635.79,124
Baja Sonora Norte,Mexicali,Puerto Peñasco,Puerto Peñasco A,Vale Amigo,06/06/2026,54.67%,951476,4662636,5614112,3069303,2544809,166,78,88,1313,540,43,54.67%,5614112,3069303,2544809,166,78,88,1313,540,43,54.67%,2544809.09,88
Baja Sonora Norte,Mexicali,Puerto Peñasco,Puerto Peñasco B,Vale Amigo,06/06/2026,58.39%,842729,4856342,5699070,3327446,2371624,154,83,71,1300,623,14,58.39%,5699070,3327446,2371624,154,83,71,1300,623,14,58.39%,2371623.72,71
Baja Sonora Norte,Mexicali,San Luis Rio Colorado,San Luis Rio Colorado A,Vale Amigo,06/06/2026,79.85%,954288,5705891,6660179,5317928,1342251,134,101,33,1224,916,4,79.85%,6660179,5317928,1342251,134,101,33,1224,916,4,79.85%,1342251.31,33
Baja Sonora Norte,Mexicali,San Luis Rio Colorado,San Luis Rio Colorado B,Vale Amigo,06/06/2026,70.11%,916243,4723694,5639937,3954393,1685544,138,98,40,1117,677,44,70.11%,5639937,3954393,1685544,138,98,40,1117,677,44,70.11%,1685544.26,40
Baja Sonora Norte,Mexicali,San Luis Rio Colorado,San Luis Rio Colorado C,Vale Amigo,06/06/2026,61.13%,692244,4419041,5111286,3124538,1986748,117,70,47,1050,564,,61.13%,5111286,3124538,1986748,117,70,47,1050,564,,61.13%,1986747.55,47
Bajio,Digital Tecuala,Rosa Morada Digital,Ejecutivo Rosa Morada A,Vale Amigo,06/06/2026,96.40%,27159,273841,301000,290154,10846,14,13,1,91,89,,96.40%,301000,290154,10846,14,13,1,91,89,,96.40%,10846.3,1
Bajio,Digital Tecuala,Ruiz Digital,Ejecutivo Ruiz A,Vale Amigo,06/06/2026,74.75%,16100,334026,350126,261732,88394,12,8,4,88,63,,74.75%,350126,261732,88394,12,8,4,88,63,,74.75%,88393.55,4
Bajio,Digital Tecuala,Tecuala Digital,Ejecutivo Tecuala A,Vale Amigo,06/06/2026,68.45%,414860,1883429,2298289,1573226,725063,84,49,35,414,237,,68.45%,2298289,1573226,725063,84,49,35,414,237,,68.45%,725062.69,35
Bajio,Digital Tecuala,Tuxpan Nayarit Digital,Ejecutivo Tuxpan Nayarit A,Vale Amigo,06/06/2026,91.48%,15000,370110,385110,352310,32800,14,13,1,100,87,,91.48%,385110,352310,32800,14,13,1,100,87,,91.48%,32799.87,1
Bajio,Durango,Durango,Durango A,Vale Amigo,06/06/2026,79.60%,716891,4413614,5130505,4083950,1046555,131,99,32,1102,788,10,79.60%,5130505,4083950,1046555,131,99,32,1102,788,10,79.60%,1046555.09,32
Bajio,Durango,Durango,Durango B,Vale Amigo,06/06/2026,69.86%,599767,3616386,4216153,2945299,1270854,102,73,29,883,577,10,69.86%,4216153,2945299,1270854,102,73,29,883,577,10,69.86%,1270853.77,29
Bajio,Durango,Durango,Durango C,Vale Amigo,06/06/2026,68.17%,853892,5970817,6824709,4652441,2172268,157,106,51,1531,939,49,68.17%,6824709,4652441,2172268,157,106,51,1531,939,49,68.17%,2172268.22,51
Bajio,Durango,Durango,Durango D,Vale Amigo,06/06/2026,47.34%,670865,3966068,4636934,2195321,2441612,102,49,53,1035,349,60,47.34%,4636934,2195321,2441612,102,49,53,1035,349,60,47.34%,2441612.2,53
Bajio,Durango,Durango,Durango E,Vale Amigo,06/06/2026,45.99%,805414,4554543,5359957,2465288,2894669,137,59,78,1317,504,8,45.99%,5359957,2465288,2894669,137,59,78,1317,504,8,45.99%,2894668.74,78
Bajio,Durango,Durango,Durango F,Vale Amigo,06/06/2026,57.16%,394232,2468151,2862383,1636220,1226163,73,37,36,724,337,16,57.16%,2862383,1636220,1226163,73,37,36,724,337,16,57.16%,1226163.41,36
Bajio,Durango,El Salto,El Salto A,Vale Amigo,06/06/2026,66.52%,732137,4630827,5362964,3567615,1795348,147,100,47,1203,763,7,66.52%,5362964,3567615,1795348,147,100,47,1203,763,7,66.52%,1795348.36,47
Bajio,Durango,El Salto,El Salto B,Vale Amigo,06/06/2026,49.32%,874638,4334588,5209226,2569288,2639938,166,77,89,1300,586,12,49.32%,5209226,2569288,2639938,166,77,89,1300,586,12,49.32%,2639938.08,89
Bajio,Morelia,Celaya,Celaya A,Vale Amigo,06/06/2026,59.23%,839477,4998947,5838424,3458357,2380068,127,75,52,1291,630,47,59.23%,5838424,3458357,2380068,127,75,52,1291,630,47,59.23%,2380067.64,52
Bajio,Morelia,Celaya,Celaya B,Vale Amigo,06/06/2026,67.55%,933192,5552057,6485249,4381037,2104213,123,78,45,1316,768,40,67.55%,6485249,4381037,2104213,123,78,45,1316,768,40,67.55%,2104212.68,45
Bajio,Morelia,Celaya,Celaya C,Vale Amigo,06/06/2026,53.84%,741371,4479898,5221268,2811175,2410093,118,71,47,1210,596,7,53.84%,5221268,2811175,2410093,118,71,47,1210,596,7,53.84%,2410093.19,47
Bajio,Morelia,Celaya,Celaya D,Vale Amigo,06/06/2026,52.10%,619763,3788082,4407845,2296670,2111175,135,68,67,1037,428,31,52.10%,4407845,2296670,2111175,135,68,67,1037,428,31,52.10%,2111174.87,67
Bajio,Morelia,Celaya,Celaya E,Viva Vale,06/06/2026,67.57%,487032,2861845,3348876,2262804,1086072,78,52,26,727,362,110,67.57%,3348876,2262804,1086072,78,52,26,727,362,110,67.57%,1086072.29,26
Bajio,Morelia,Ejecutivo Patzcuaro,Ejecutivo Patzcuaro A,Vale Amigo,06/06/2026,100.00%,0,36000,36000,36000,,1,1,,4,4,,100.00%,36000,36000,,1,1,,4,4,,100.00%,,
Bajio,Morelia,Irapuato,Irapuato A,Vale Amigo,06/06/2026,62.17%,661650,3865533,4527183,2814675,1712508,94,49,45,980,458,35,62.17%,4527183,2814675,1712508,94,49,45,980,458,35,62.17%,1712508.25,45
Bajio,Morelia,Irapuato,Irapuato B,Vale Amigo,06/06/2026,38.05%,433684,3013688,3447372,1311570,2135802,71,20,51,805,236,23,38.05%,3447372,1311570,2135802,71,20,51,805,236,23,38.05%,2135801.88,51
Bajio,Morelia,Morelia,Morelia A,Vale Amigo,06/06/2026,60.69%,1223626,7800771,9024397,5477020,3547377,174,111,63,1824,971,48,60.69%,9024397,5477020,3547377,174,111,63,1824,971,48,60.69%,3547376.84,63
Bajio,Morelia,Morelia,Morelia B,Vale Amigo,06/06/2026,66.77%,1082209,6268650,7350859,4908112,2442747,153,96,57,1512,813,162,66.77%,7350859,4908112,2442747,153,96,57,1512,813,162,66.77%,2442747.01,57
Bajio,Morelia,Morelia,Morelia C,Vale Amigo,06/06/2026,60.52%,759692,5496181,6255874,3786162,2469712,134,67,67,1356,680,57,60.52%,6255874,3786162,2469712,134,67,67,1356,680,57,60.52%,2469711.66,67
Bajio,Morelia,Morelia,Morelia D,Viva Vale,06/06/2026,69.97%,597769,3858158,4455927,3117795,1338132,99,73,26,937,556,103,69.97%,4455927,3117795,1338132,99,73,26,937,556,103,69.97%,1338131.95,26
Bajio,Morelia,Morelia,Morelia E,Viva Vale,06/06/2026,69.94%,473602,3260896,3734498,2612061,1122437,82,52,30,821,532,22,69.94%,3734498,2612061,1122437,82,52,30,821,532,22,69.94%,1122437.36,30
Bajio,Morelia,Uruapan,Uruapan A,Vale Amigo,06/06/2026,70.64%,688834,3291779,3980613,2812030,1168583,87,60,27,764,484,16,70.64%,3980613,2812030,1168583,87,60,27,764,484,16,70.64%,1168583.15,27
Bajio,Morelia,Uruapan,Uruapan B,Vale Amigo,06/06/2026,76.19%,782819,4273131,5055950,3852042,1203908,101,75,26,943,605,29,76.19%,5055950,3852042,1203908,101,75,26,943,605,29,76.19%,1203908.21,26
Bajio,Morelia,Uruapan,Uruapan C,Vale Amigo,06/06/2026,74.84%,544896,2934142,3479038,2603649,875389,97,67,30,713,478,12,74.84%,3479038,2603649,875389,97,67,30,713,478,12,74.84%,875388.81,30
Bajio,Morelia,Uruapan,Uruapan D,Vale Amigo,06/06/2026,53.45%,520610,2226495,2747105,1468275,1278830,73,27,46,614,259,6,53.45%,2747105,1468275,1278830,73,27,46,614,259,6,53.45%,1278829.76,46
Bajio,Morelia,Uruapan,Uruapan E,Viva Vale,06/06/2026,62.58%,315933,1842511,2158444,1350701,807743,33,23,10,425,265,,62.58%,2158444,1350701,807743,33,23,10,425,265,,62.58%,807742.85,10
Bajio,Santiago Papasquiaro Digital,Santiago Papasquiaro Digital,Ejecutivo Santiago Papasquiaro A,Vale Amigo,06/06/2026,94.39%,111336,1520593,1631929,1540404,91525,56,51,5,395,365,,94.39%,1631929,1540404,91525,56,51,5,395,365,,94.39%,91524.84,5
Bajio,Sinaloa Sur 2,Acaponeta,Acaponeta A,Vale Amigo,06/06/2026,82.04%,962910,4705785,5668696,4650686,1018010,135,105,30,989,726,17,82.04%,5668696,4650686,1018010,135,105,30,989,726,17,82.04%,1018009.76,30
Bajio,Sinaloa Sur 2,Acaponeta,Acaponeta B,Vale Amigo,06/06/2026,75.80%,443831,1786153,2229983,1690226,539757,75,53,22,429,301,,75.80%,2229983,1690226,539757,75,53,22,429,301,,75.80%,539757.44,22
Bajio,Sinaloa Sur 2,Escuinapa,Escuinapa A,Vale Amigo,06/06/2026,68.59%,739092,3829558,4568651,3133683,1434968,125,76,49,844,498,,68.59%,4568651,3133683,1434968,125,76,49,844,498,,68.59%,1434967.81,49
Bajio,Sinaloa Sur 2,Escuinapa,Escuinapa B,Vale Amigo,06/06/2026,62.51%,585375,2644087,3229462,2018680,1210782,118,68,50,605,320,13,62.51%,3229462,2018680,1210782,118,68,50,605,320,13,62.51%,1210781.6,50
Bajio,Sinaloa Sur 2,Escuinapa,Escuinapa C,Vale Amigo,06/06/2026,76.18%,529967,2800586,3330553,2537275,793278,92,64,28,609,402,10,76.18%,3330553,2537275,793278,92,64,28,609,402,10,76.18%,793277.64,28
Bajio,Sinaloa Sur 2,Escuinapa,Escuinapa D,Viva Vale,06/06/2026,85.70%,298702,1733727,2032429,1741849,290580,63,52,11,428,322,26,85.70%,2032429,1741849,290580,63,52,11,428,322,26,85.70%,290579.78,11
Bajio,Sinaloa Sur 2,Escuinapa,Escuinapa E,Viva Vale,06/06/2026,75.52%,408530,2081356,2489886,1880344,609542,66,53,13,479,351,1,75.52%,2489886,1880344,609542,66,53,13,479,351,1,75.52%,609541.94,13
Bajio,Sinaloa Sur 2,Santiago Ixcuintla,Santiago Ixcuintla A,Vale Amigo,06/06/2026,78.87%,733930,3874862,4608792,3634967,973824,138,95,43,1061,725,20,78.87%,4608792,3634967,973824,138,95,43,1061,725,20,78.87%,973824.26,43
Bajio,Sinaloa Sur 2,Santiago Ixcuintla,Santiago Ixcuintla B,Vale Amigo,06/06/2026,71.77%,805374,3596051,4401425,3159104,1242321,150,85,65,1077,604,50,71.77%,4401425,3159104,1242321,150,85,65,1077,604,50,71.77%,1242320.54,65
Bajio,Sinaloa Sur 2,Santiago Ixcuintla,Santiago Ixcuintla C,Vale Amigo,06/06/2026,97.60%,21583,209667,231250,225697,5553,26,25,1,86,84,,97.60%,231250,225697,5553,26,25,1,86,84,,97.60%,5552.95,1
Bajio,Tepic,Compostela,Compostela A,Vale Amigo,06/06/2026,91.24%,558048,2688987,3247035,2962473,284562,101,85,16,585,476,26,91.24%,3247035,2962473,284562,101,85,16,585,476,26,91.24%,284561.63,16
Bajio,Tepic,Ixtlan del Rio,Ixtlan del Rio A,Vale Amigo,06/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,
Bajio,Tepic,Mezcales,Mezcales A,Vale Amigo,06/06/2026,66.30%,668959,3819519,4488478,2975766,1512712,98,55,43,844,440,32,66.30%,4488478,2975766,1512712,98,55,43,844,440,32,66.30%,1512711.52,43
Bajio,Tepic,Mezcales,Mezcales B,Vale Amigo,06/06/2026,54.86%,715531,4074552,4790083,2627686,2162396,109,48,61,998,437,15,54.86%,4790083,2627686,2162396,109,48,61,998,437,15,54.86%,2162396.11,61
Bajio,Tepic,Mezcales,Mezcales C,Vale Amigo,06/06/2026,54.56%,601458,2891442,3492900,1905638,1587262,123,58,65,831,369,12,54.56%,3492900,1905638,1587262,123,58,65,831,369,12,54.56%,1587261.57,65
Bajio,Tepic,Tepic,Tepic A,Vale Amigo,06/06/2026,68.27%,801645,2909062,3710707,2533133,1177574,121,68,53,706,392,16,68.27%,3710707,2533133,1177574,121,68,53,706,392,16,68.27%,1177573.62,53
Bajio,Tepic,Tepic,Tepic B,Vale Amigo,06/06/2026,77.36%,595744,2862334,3458078,2675164,782914,90,68,22,632,404,48,77.36%,3458078,2675164,782914,90,68,22,632,404,48,77.36%,782914.2,22
Bajio,Tepic,Tepic,Tepic C,Vale Amigo,06/06/2026,62.73%,764223,3323147,4087370,2564120,1523250,130,75,55,815,426,7,62.73%,4087370,2564120,1523250,130,75,55,815,426,7,62.73%,1523249.62,55
Bajio,Tepic,Tepic,Tepic D,Vale Amigo,06/06/2026,63.76%,841423,3210001,4051424,2583385,1468039,105,49,56,771,374,6,63.76%,4051424,2583385,1468039,105,49,56,771,374,6,63.76%,1468038.9,56
Bajio,Tepic,Tepic,Tepic E,Viva Vale,06/06/2026,70.01%,713696,3729548,4443244,3110655,1332589,129,84,45,919,580,18,70.01%,4443244,3110655,1332589,129,84,45,919,580,18,70.01%,1332589.17,45
Bajio,Tepic,Vallarta,Vallarta A,Vale Amigo,06/06/2026,68.22%,728699,4044706,4773405,3256531,1516874,100,75,25,869,560,,68.22%,4773405,3256531,1516874,100,75,25,869,560,,68.22%,1516874.18,25
Bajio,Tepic,Vallarta,Vallarta B,Vale Amigo,06/06/2026,66.50%,696641,3573124,4269765,2839510,1430255,79,58,21,742,486,,66.50%,4269765,2839510,1430255,79,58,21,742,486,,66.50%,1430255.05,21
Bajio,Tepic,Vallarta,Vallarta C,Vale Amigo,06/06/2026,63.56%,759675,4161516,4921192,3128028,1793164,80,50,30,924,533,19,63.56%,4921192,3128028,1793164,80,50,30,924,533,19,63.56%,1793163.56,30
Bajio,Zacatecas,Fresnillo,Fresnillo A,Vale Amigo,06/06/2026,52.36%,734642,3924074,4658715,2439190,2219525,121,60,61,1048,455,24,52.36%,4658715,2439190,2219525,121,60,61,1048,455,24,52.36%,2219525.29,61
Bajio,Zacatecas,Fresnillo,Fresnillo B,Vale Amigo,06/06/2026,61.10%,507268,3883665,4390934,2683019,1707914,102,64,38,910,419,87,61.10%,4390934,2683019,1707914,102,64,38,910,419,87,61.10%,1707914.33,38
Bajio,Zacatecas,Fresnillo,Fresnillo C,Vale Amigo,06/06/2026,50.40%,746446,3746240,4492686,2264459,2228227,129,51,78,1006,372,43,50.40%,4492686,2264459,2228227,129,51,78,1006,372,43,50.40%,2228227.03,78
Bajio,Zacatecas,Jerez,Jerez A,Vale Amigo,06/06/2026,77.19%,838628,4155243,4993871,3854835,1139037,132,99,33,851,581,15,77.19%,4993871,3854835,1139037,132,99,33,851,581,15,77.19%,1139036.63,33
Bajio,Zacatecas,Jerez,Jerez B,Vale Amigo,06/06/2026,71.05%,628537,2884732,3513268,2496167,1017101,112,74,38,655,370,51,71.05%,3513268,2496167,1017101,112,74,38,655,370,51,71.05%,1017101.21,38
Bajio,Zacatecas,Rio Grande,Rio Grande A,Vale Amigo,06/06/2026,84.60%,737685,3365528,4103213,3471288,631925,85,69,16,598,481,7,84.60%,4103213,3471288,631925,85,69,16,598,481,7,84.60%,631924.96,16
Bajio,Zacatecas,Rio Grande,Rio Grande B,Vale Amigo,06/06/2026,84.18%,620973,3376606,3997580,3365051,632529,85,73,12,619,487,8,84.18%,3997580,3365051,632529,85,73,12,619,487,8,84.18%,632528.75,12
Bajio,Zacatecas,Rio Grande,Rio Grande C,Vale Amigo,06/06/2026,82.66%,729376,3742286,4471662,3696374,775288,91,70,21,734,537,15,82.66%,4471662,3696374,775288,91,70,21,734,537,15,82.66%,775288.26,21
Bajio,Zacatecas,Rio Grande,Rio Grande D,Vale Amigo,06/06/2026,77.34%,643167,2937029,3580196,2768826,811369,94,64,30,576,346,43,77.34%,3580196,2768826,811369,94,64,30,576,346,43,77.34%,811369.21,30
Bajio,Zacatecas,Zacatecas,Zacatecas A,Vale Amigo,06/06/2026,69.29%,989202,5975743,6964945,4826340,2138605,160,97,63,1359,839,,69.29%,6964945,4826340,2138605,160,97,63,1359,839,,69.29%,2138605.1,63
Bajio,Zacatecas,Zacatecas,Zacatecas B,Vale Amigo,06/06/2026,62.91%,939690,4793226,5732916,3606563,2126353,127,82,45,1093,592,40,62.91%,5732916,3606563,2126353,127,82,45,1093,592,40,62.91%,2126352.91,45
Bajio,Zacatecas,Zacatecas,Zacatecas C,Vale Amigo,06/06/2026,66.21%,940451,5118801,6059253,4011631,2047622,160,92,68,1222,686,31,66.21%,6059253,4011631,2047622,160,92,68,1222,686,31,66.21%,2047622.28,68
Bajio,Zacatecas,Zacatecas,Zacatecas D,Vale Amigo,06/06/2026,100.00%,0,21611,21611,21611,,1,1,,4,4,,100.00%,21611,21611,,1,1,,4,4,,100.00%,,
Chihuahua,Chihuahua Centro,Chihuahua Centro,Chihuahua Centro A,Vale Amigo,06/06/2026,47.61%,855972,4611144,5467116,2603074,2864043,153,76,77,1215,479,21,47.61%,5467116,2603074,2864043,153,76,77,1215,479,21,47.61%,2864042.6,77
Chihuahua,Chihuahua Centro,Chihuahua Centro,Chihuahua Centro B,Vale Amigo,06/06/2026,55.23%,855482,4947437,5802919,3205158,2597761,136,72,64,1119,556,,55.23%,5802919,3205158,2597761,136,72,64,1119,556,,55.23%,2597760.63,64
Chihuahua,Chihuahua Centro,Chihuahua Centro,Chihuahua Centro C,Vale Amigo,06/06/2026,48.29%,794933,4412422,5207355,2514477,2692878,138,57,81,1150,466,9,48.29%,5207355,2514477,2692878,138,57,81,1150,466,9,48.29%,2692878.39,81
Chihuahua,Chihuahua Centro,Chihuahua Centro,Chihuahua Centro D,Vale Amigo,06/06/2026,55.94%,687603,4062741,4750343,2657381,2092963,119,59,60,972,477,9,55.94%,4750343,2657381,2092963,119,59,60,972,477,9,55.94%,2092962.84,60
Chihuahua,Chihuahua Centro,Chihuahua Centro,Chihuahua E,Viva Vale,06/06/2026,83.88%,540916,1902192,2443108,2049371,393737,92,73,19,515,410,8,83.88%,2443108,2049371,393737,92,73,19,515,410,8,83.88%,393736.84,19
Chihuahua,Chihuahua Centro,Cuauhtemoc,Cuauhtemoc A,Vale Amigo,06/06/2026,57.48%,740901,3300162,4041063,2322746,1718317,128,65,63,828,385,27,57.48%,4041063,2322746,1718317,128,65,63,828,385,27,57.48%,1718317.18,63
Chihuahua,Chihuahua Centro,Cuauhtemoc,Cuauhtemoc B,Vale Amigo,06/06/2026,47.93%,779035,3092498,3871532,1855461,2016071,143,54,89,848,323,10,47.93%,3871532,1855461,2016071,143,54,89,848,323,10,47.93%,2016070.84,89
Chihuahua,Chihuahua Centro,Cuauhtemoc,Cuauhtemoc C,Vale Amigo,06/06/2026,59.67%,717834,4000916,4718749,2815573,1903177,117,74,43,1036,495,78,59.67%,4718749,2815573,1903177,117,74,43,1036,495,78,59.67%,1903176.91,43
Chihuahua,Chihuahua Centro,Cuauhtemoc,Cuauhtemoc D,Viva Vale,06/06/2026,73.00%,547574,2641416,3188990,2327884,861106,106,74,32,672,435,25,73.00%,3188990,2327884,861106,106,74,32,672,435,25,73.00%,861106.03,32
Chihuahua,Chihuahua Centro,Cuauhtemoc,Cuauhtemoc E,Viva Vale,06/06/2026,84.64%,552884,3225680,3778564,3198231,580333,107,91,16,767,590,51,84.64%,3778564,3198231,580333,107,91,16,767,590,51,84.64%,580333.41,16
Chihuahua,Chihuahua Centro,Parral,Parral A,Vale Amigo,06/06/2026,48.96%,919410,4424947,5344356,2616837,2727519,156,66,90,1143,478,6,48.96%,5344356,2616837,2727519,156,66,90,1143,478,6,48.96%,2727519.38,90
Chihuahua,Chihuahua Centro,Parral,Parral B,Vale Amigo,06/06/2026,57.00%,822971,3514556,4337527,2472212,1865316,149,83,66,929,451,16,57.00%,4337527,2472212,1865316,149,83,66,929,451,16,57.00%,1865315.87,66
Chihuahua,Chihuahua Centro,Parral,Parral C,Vale Amigo,06/06/2026,49.99%,713962,2654999,3368961,1684110,1684851,113,52,61,754,302,,49.99%,3368961,1684110,1684851,113,52,61,754,302,,49.99%,1684851.49,61
Chihuahua,Chihuahua Centro,Parral,Parral D,Viva Vale,06/06/2026,69.29%,245084,1057514,1302598,902528,400070,41,32,9,274,191,5,69.29%,1302598,902528,400070,41,32,9,274,191,5,69.29%,400070.33,9
Chihuahua,Chihuahua Centro,Parral,Parral E,Viva Vale,06/06/2026,80.81%,209941,1082687,1292628,1044619,248009,40,32,8,269,195,16,80.81%,1292628,1044619,248009,40,32,8,269,195,16,80.81%,248009.04,8
Chihuahua,Chihuahua Norte,Casas Grandes,Casas Grandes A,Vale Amigo,06/06/2026,49.90%,867337,3569445,4436782,2213805,2222977,153,68,85,940,380,36,49.90%,4436782,2213805,2222977,153,68,85,940,380,36,49.90%,2222977,85
Chihuahua,Chihuahua Norte,Casas Grandes,Casas Grandes B,Vale Amigo,06/06/2026,67.50%,785912,3277967,4063880,2743064,1320816,94,63,31,747,465,19,67.50%,4063880,2743064,1320816,94,63,31,747,465,19,67.50%,1320815.82,31
Chihuahua,Chihuahua Norte,Casas Grandes,Casas Grandes C,Viva Vale,06/06/2026,78.77%,416604,1614609,2031214,1599887,431327,59,51,8,344,269,,78.77%,2031214,1599887,431327,59,51,8,344,269,,78.77%,431326.9,8
Chihuahua,Chihuahua Norte,Casas Grandes,Casas Grandes D,Viva Vale,06/06/2026,42.34%,429014,2644184,3073198,1301307,1771891,77,31,46,557,231,,42.34%,3073198,1301307,1771891,77,31,46,557,231,,42.34%,1771891.09,46
Chihuahua,Chihuahua Norte,Cd. Juárez,Juarez A,Vale Amigo,06/06/2026,47.62%,1448932,7838820,9287752,4422512,4865240,240,94,146,2056,794,26,47.62%,9287752,4422512,4865240,240,94,146,2056,794,26,47.62%,4865240.16,146
Chihuahua,Chihuahua Norte,Cd. Juárez,Juarez B,Vale Amigo,06/06/2026,56.15%,1299215,7428671,8727887,4901073,3826814,237,114,123,1879,903,23,56.15%,8727887,4901073,3826814,237,114,123,1879,903,23,56.15%,3826813.99,123
Chihuahua,Chihuahua Norte,Cd. Juárez,Juarez C,Vale Amigo,06/06/2026,46.25%,1508884,7655847,9164731,4238310,4926421,230,98,132,1909,775,12,46.25%,9164731,4238310,4926421,230,98,132,1909,775,12,46.25%,4926420.53,132
Chihuahua,Chihuahua Norte,Cd. Juárez,Juarez D,Vale Amigo,06/06/2026,54.82%,1524170,8372664,9896834,5425221,4471613,246,109,137,2172,993,67,54.82%,9896834,5425221,4471613,246,109,137,2172,993,67,54.82%,4471612.65,137
Chihuahua,Chihuahua Norte,Cd. Juárez,Juarez E,Vale Amigo,06/06/2026,49.74%,1466296,7222591,8688887,4321530,4367356,221,90,131,1942,800,26,49.74%,8688887,4321530,4367356,221,90,131,1942,800,26,49.74%,4367356.3,131
Chihuahua,Chihuahua Norte,Cd. Juárez 2,Juarez 2 A,Vale Amigo,06/06/2026,49.54%,1451433,8507151,9958584,4933521,5025062,240,84,156,2200,948,13,49.54%,9958584,4933521,5025062,240,84,156,2200,948,13,49.54%,5025062.35,156
Chihuahua,Chihuahua Norte,Cd. Juárez 2,Juarez 2 B,Vale Amigo,06/06/2026,41.42%,1570953,7907512,9478465,3926423,5552043,265,78,187,2152,727,53,41.42%,9478465,3926423,5552043,265,78,187,2152,727,53,41.42%,5552042.72,187
Chihuahua,Chihuahua Norte,Cd. Juárez 2,Juarez 2 C,Viva Vale,06/06/2026,57.47%,431626,2859852,3291478,1891657,1399822,66,44,22,692,401,3,57.47%,3291478,1891657,1399822,66,44,22,692,401,3,57.47%,1399821.66,22
