Date,Marca,Subdirección,Zona,Sucursal,Total dispersado,Monto Financiero,Monto PP,Canjes,Prestamos Personales,Canje Promedio,PP Promedio
09/06/2026,Vale Amigo,Noreste,Tamaulipas,Tampico Norte,228000,176000,52000,21,3,8380.95,17333.33
15/06/2026,Vale Amigo,Pacifico,Sonora Sur,Navojoa,228000,175000,53000,20,4,8750,13250
16/06/2026,Vale Amigo,Bajio,Morelia,Uruapan,228000,190000,38000,21,3,9047.62,12666.67
26/06/2026,Vale Amigo,Pacifico,Los Cabos,Cabo San Lucas,227500,117500,110000,16,4,7343.75,27500
17/06/2026,Vale Amigo,Pacifico,La Paz 2,La Paz 3,227000,171000,56000,23,4,7434.78,14000
18/06/2026,Vale Amigo,Bajio,Morelia,Uruapan,227000,183000,44000,25,2,7320,22000
01/07/2026,Viva Vale,Sureste,Tabasco Norte,Cardenas 2,226500,206500,20000,33,2,6257.58,10000
20/06/2026,Vale Amigo,Pacifico,Obregon,Obregón Perisur,226000,218000,8000,31,1,7032.26,8000
18/06/2026,Viva Vale,Noreste,Tampico,Tampico Centro,225500,225500,,30,,7516.67,
01/06/2026,Vale Amigo,Sureste,Veracruz Sur,Coatzacoalcos,225000,217000,8000,32,1,6781.25,8000
03/06/2026,Vale Amigo,Bajio,Morelia,Celaya,225000,170000,55000,22,2,7727.27,27500
15/06/2026,Vale Amigo,Pacifico,Sonora Centro,Empalme,225000,195000,30000,25,2,7800,15000
17/06/2026,Vale Amigo,Noreste,Tampico,Tampico Madero,225000,167000,58000,22,3,7590.91,19333.33
01/07/2026,Vale Amigo,Sureste,Tabasco Centro,Macuspana,224635,176635,48000,27,3,6542.04,16000
03/07/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,224484,171484,53000,24,4,7145.17,13250
30/06/2026,Vale Amigo,Noreste,Tampico,Tampico Madero,224360,209360,15000,25,1,8374.4,15000
03/06/2026,Vale Amigo,Noreste,Saltillo/Nuevo Leon,Saltillo,224000,194000,30000,28,2,6928.57,15000
30/06/2026,Vale Amigo,Baja Sonora Norte,Baja Norte,Tijuana,224000,194000,30000,27,1,7185.19,30000
01/07/2026,Vale Amigo,Bajio,Zacatecas,Zacatecas,224000,199000,25000,25,2,7960,12500
03/06/2026,Vale Amigo,Pacifico,Sinaloa Centro,Culiacán Centro,223000,200000,23000,24,2,8333.33,11500
10/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz,223000,182000,41000,24,3,7583.33,13666.67
15/06/2026,Vale Amigo,Sureste,Veracruz Sur,Minatitlán,223000,190000,33000,31,2,6129.03,16500
17/06/2026,Vale Amigo,Sureste,Tabasco Norte,Comalcalco,223000,181000,42000,27,4,6703.7,10500
02/07/2026,Vale Amigo,Bajio,Tepic,Tepic,222510,192510,30000,27,2,7130,15000
10/06/2026,Vale Amigo,Pacifico,Sonora Centro,Hermosillo,222500,167500,55000,24,2,6979.17,27500
18/06/2026,Vale Amigo,Pacifico,Los Cabos,San Jose Del Cabo,222500,222500,,28,,7946.43,
02/07/2026,Vale Amigo,Sureste,Veracruz Centro,Cordoba,222423,165423,57000,33,5,5012.82,11400
01/06/2026,Vale Amigo,Baja Sonora Norte,Mexicali,San Luis Rio Colorado,222000,174000,48000,26,2,6692.31,24000
04/06/2026,Vale Amigo,Pacifico,Sonora Centro,Hermosillo,222000,190000,32000,22,2,8636.36,16000
13/06/2026,Vale Amigo,Noreste,Coahuila Norte,Piedras Negras,222000,184000,38000,23,3,8000,12666.67
17/06/2026,Vale Amigo,Chihuahua,Chihuahua Centro,Chihuahua Centro,222000,174000,48000,23,3,7565.22,16000
24/06/2026,Vale Amigo,Bajio,Durango,Durango,222000,192000,30000,33,2,5818.18,15000
19/06/2026,Vale Amigo,Bajio,Morelia,Celaya,221781,183781,38000,22,2,8353.68,19000
29/06/2026,Vale Amigo,Sureste,Veracruz Norte,Poza Rica,221776,169776,52000,22,4,7717.09,13000
04/06/2026,Vale Amigo,Noreste,Tamaulipas,Altamira,221500,206500,15000,30,1,6883.33,15000
10/06/2026,Vale Amigo,Sureste,Veracruz Norte,Poza Rica,221500,199500,22000,27,1,7388.89,22000
20/06/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,221500,206500,15000,26,1,7942.31,15000
01/07/2026,Viva Vale,Noreste,Tampico,Tampico Centro,221500,206500,15000,28,1,7375,15000
02/07/2026,Viva Vale,Sureste,Veracruz Norte,Poza Rica 2,221500,213500,8000,32,1,6671.88,8000
05/06/2026,Vale Amigo,Pacifico,Sonora Centro,Hermosillo,221000,191000,30000,28,1,6821.43,30000
13/06/2026,Vale Amigo,Pacifico,Digital Sonora Norte 2,Nogales,221000,115000,106000,18,5,6388.89,21200
15/06/2026,Vale Amigo,Sureste,Veracruz Centro,Cordoba,221000,195000,26000,28,2,6964.29,13000
01/07/2026,Vale Amigo,Sureste,Veracruz Sur,Minatitlán,220986,166986,54000,28,5,5963.79,10800
16/06/2026,Vale Amigo,Sureste,Tabasco Centro,Macuspana,220500,133500,87000,20,5,6675,17400
17/06/2026,Vale Amigo,Pacifico,Mazatlan,Mazatlán Centro,220500,169500,51000,22,3,7704.55,17000
17/06/2026,Vale Amigo,Pacifico,Sinaloa Centro,Culiacán Centro,220500,187500,33000,26,2,7211.54,16500
25/06/2026,Vale Amigo,Noreste,Coahuila Norte,Piedras Negras,220500,190500,30000,21,2,9071.43,15000
02/07/2026,Vale Amigo,Pacifico,Obregon,Obregón Centro 1,220500,187500,33000,23,2,8152.17,16500
04/07/2026,Vale Amigo,Pacifico,Los Cabos,San Jose Del Cabo,220500,198500,22000,23,1,8630.43,22000
30/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz 2,220032,169032,51000,21,3,8049.14,17000
17/06/2026,Vale Amigo,Bajio,Tepic,Tepic,220000,190000,30000,26,2,7307.69,15000
01/07/2026,Vale Amigo,Pacifico,Sinaloa Centro,Culiacán Centro,219796,189796,30000,25,2,7591.84,15000
02/06/2026,Vale Amigo,Noreste,Saltillo/Nuevo Leon,Saltillo,219500,188500,31000,27,3,6981.48,10333.33
03/06/2026,Vale Amigo,Sureste,Veracruz Sur,Minatitlán,219500,204500,15000,34,1,6014.71,15000
15/06/2026,Vale Amigo,Pacifico,Sonora Norte 1,Magdalena,219500,184500,35000,22,2,8386.36,17500
27/06/2026,Vale Amigo,Noreste,Tamaulipas,Altamira,219053,171053,48000,21,2,8145.38,24000
10/06/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,219000,204000,15000,27,1,7555.56,15000
15/06/2026,Vale Amigo,Baja Sonora Norte,Mexicali,Mexicali,219000,132000,87000,17,3,7764.71,29000
18/06/2026,Vale Amigo,Pacifico,Sinaloa Sur 1,Navolato,219000,171000,48000,24,3,7125,16000
02/07/2026,Vale Amigo,Baja Sonora Norte,Baja Norte,Ensenada,219000,204000,15000,25,1,8160,15000
12/06/2026,Vale Amigo,Pacifico,Sonora Norte 1,Caborca,217500,209500,8000,23,1,9108.7,8000
05/06/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,217000,217000,,27,,8037.04,
15/06/2026,Vale Amigo,Noreste,Coahuila Norte,Monclova,217000,131000,86000,17,7,7705.88,12285.71
17/06/2026,Vale Amigo,Pacifico,Obregon,Obregón Perisur,217000,161000,56000,23,4,7000,14000
30/06/2026,Vale Amigo,Sureste,Tabasco Centro,Teapa,217000,136000,81000,19,5,7157.89,16200
03/06/2026,Vale Amigo,Pacifico,Sinaloa Centro,Culiacán San Isidro,216500,194500,22000,26,1,7480.77,22000
09/06/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,216500,183500,33000,27,2,6796.3,16500
20/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz 2,216500,201500,15000,25,1,8060,15000
30/06/2026,Vale Amigo,Sureste,Tabasco Norte,Comalcalco,216436,168436,48000,27,3,6238.37,16000
01/07/2026,Vale Amigo,Bajio,Tepic,Tepic,216048,131048,85000,16,4,8190.5,21250
03/06/2026,Vale Amigo,Pacifico,Los Cabos,San Jose Del Cabo,216000,216000,,23,,9391.3,
03/06/2026,Vale Amigo,Pacifico,Sonora Sur,Navojoa,216000,181000,35000,27,2,6703.7,17500
13/06/2026,Vale Amigo,Noreste,Tampico,Tampico Centro,216000,191000,25000,26,1,7346.15,25000
17/06/2026,Vale Amigo,Baja Sonora Norte,Baja Norte,Tijuana,216000,176000,40000,23,2,7652.17,20000
01/07/2026,Viva Vale,Sureste,Veracruz Sur,Coatzacoalcos 2,216000,178000,38000,27,3,6592.59,12666.67
02/07/2026,Vale Amigo,Sureste,Tabasco Centro,Macuspana,216000,191000,25000,27,2,7074.07,12500
20/06/2026,Vale Amigo,Pacifico,La Paz 1,La Paz,215664,142664,73000,19,5,7508.63,14600
01/06/2026,Vale Amigo,Sureste,Tabasco Norte,Paraiso,215500,176500,39000,27,3,6537.04,13000
03/06/2026,Vale Amigo,Pacifico,Mazatlan,Mazatlán Centro,215000,152000,63000,20,4,7600,15750
11/06/2026,Vale Amigo,Noreste,Tamaulipas,Tampico Norte,215000,170000,45000,21,2,8095.24,22500
17/06/2026,Vale Amigo,Bajio,Zacatecas,Rio Grande,215000,180000,35000,19,3,9473.68,11666.67
29/06/2026,Viva Vale,Sureste,Tabasco Norte,Cardenas 2,215000,184000,31000,27,3,6814.81,10333.33
03/07/2026,Vale Amigo,Pacifico,Sinaloa Sur 1,Navolato,215000,153000,62000,19,5,8052.63,12400
25/06/2026,Vale Amigo,Pacifico,Sonora Centro,Hermosillo,214986,206986,8000,26,1,7961,8000
01/06/2026,Viva Vale,Noreste,Tampico,Tampico Centro,214500,164500,50000,21,2,7833.33,25000
03/06/2026,Viva Vale,Noreste,Tampico,Tampico Madero,214500,171500,43000,24,3,7145.83,14333.33
18/06/2026,Vale Amigo,Sureste,Veracruz Sur,Minatitlán,214000,187000,27000,32,2,5843.75,13500
03/06/2026,Viva Vale,Noreste,Tampico,Tampico Centro,213500,193500,20000,27,1,7166.67,20000
30/06/2026,Vale Amigo,Pacifico,Sonora Centro,Guaymas,213500,183500,30000,24,2,7645.83,15000
01/06/2026,Vale Amigo,Sureste,Veracruz Centro,Cordoba,212500,161500,51000,25,4,6460,12750
30/06/2026,Vale Amigo,Noreste,Saltillo/Nuevo Leon,Saltillo,212500,152500,60000,22,3,6931.82,20000
02/07/2026,Vale Amigo,Bajio,Zacatecas,Rio Grande,212500,177500,35000,21,2,8452.38,17500
04/07/2026,Vale Amigo,Pacifico,Sinaloa Centro,Culiacán San Isidro,212300,168300,44000,24,2,7012.5,22000
24/06/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,212151,184151,28000,23,2,8006.57,14000
02/06/2026,Vale Amigo,Pacifico,Sinaloa Centro,Culiacán Centro,212000,172000,40000,22,2,7818.18,20000
05/06/2026,Vale Amigo,Chihuahua,Chihuahua Norte,Cd. Juárez,212000,186000,26000,26,2,7153.85,13000
20/06/2026,Vale Amigo,Pacifico,Sinaloa Centro,Culiacán San Isidro,212000,199000,13000,29,1,6862.07,13000
06/06/2026,Vale Amigo,Bajio,Morelia,Morelia,211500,196500,15000,27,1,7277.78,15000
13/06/2026,Vale Amigo,Baja Sonora Norte,Baja Norte,Ensenada,211500,163500,48000,21,2,7785.71,24000
01/07/2026,Vale Amigo,Pacifico,Sonora Centro,Empalme,211000,173000,38000,24,3,7208.33,12666.67
04/07/2026,Vale Amigo,Bajio,Morelia,Uruapan,211000,178000,33000,21,2,8476.19,16500
18/06/2026,Vale Amigo,Pacifico,Sinaloa Centro,Culiacán Centro,210946,162946,48000,20,3,8147.3,16000
19/06/2026,Vale Amigo,Sureste,Tabasco Norte,Cardenas,210500,195500,15000,33,1,5924.24,15000
27/06/2026,Vale Amigo,Pacifico,Sonora Centro,Hermosillo,210500,202500,8000,31,1,6532.26,8000
06/06/2026,Vale Amigo,Pacifico,Obregon,Obregón Centro 1,210000,210000,,24,,8750,
22/06/2026,Vale Amigo,Bajio,Zacatecas,Zacatecas,210000,154000,56000,22,4,7000,14000
13/06/2026,Viva Vale,Sureste,Tabasco Norte,Cardenas 2,209500,121500,88000,18,6,6750,14666.67
19/06/2026,Vale Amigo,Sureste,Veracruz Sur,Coatzacoalcos,209500,128500,81000,20,4,6425,20250
04/07/2026,Vale Amigo,Noreste,Tampico,Tampico Madero,209500,201500,8000,25,1,8060,8000
02/07/2026,Vale Amigo,Sureste,Veracruz Sur,Coatzacoalcos,209452,176452,33000,24,2,7352.17,16500
04/07/2026,Vale Amigo,Pacifico,Digital Sonora Norte 2,Nogales,209245,184245,25000,26,1,7086.35,25000
16/06/2026,Vale Amigo,Bajio,Zacatecas,Rio Grande,209000,159000,50000,19,3,8368.42,16666.67
