Date,Marca,Subdirección,Zona,Sucursal,Total dispersado,Monto Financiero,Monto PP,Canjes,Prestamos Personales,Canje Promedio,PP Promedio
25/06/2026,Vale Amigo,Sureste,Veracruz Norte,Tuxpan,79000,64000,15000,6,1,10666.67,15000
26/06/2026,Vale Amigo,Baja Sonora Norte,Baja Norte,Tijuana 2,79000,54000,25000,7,1,7714.29,25000
26/06/2026,Vale Amigo,Bajio,Durango,El Salto,79000,79000,,13,,6076.92,
27/06/2026,Vale Amigo,Pacifico,Sinaloa Sur 1,Costa Rica,79000,79000,,11,,7181.82,
29/06/2026,Vale Amigo,Chihuahua,Chihuahua Sur,Delicias,79000,79000,,12,,6583.33,
01/07/2026,Vale Amigo,Bajio,Sinaloa Sur 2,Escuinapa,79000,53000,26000,8,2,6625,13000
12/06/2026,Viva Vale,Sureste,Veracruz Centro,Cordoba,78500,63500,15000,12,1,5291.67,15000
19/06/2026,Vale Amigo,Bajio,Zacatecas,Rio Grande,78500,78500,,10,,7850,
24/06/2026,Viva Vale,Sureste,Tabasco Norte,Cardenas 2,78500,70500,8000,12,1,5875,8000
27/06/2026,Vale Amigo,Chihuahua,Chihuahua Centro,Chihuahua Centro,78500,70500,8000,9,1,7833.33,8000
04/07/2026,Vale Amigo,Pacifico,Sinaloa Sur 1,Navolato,78500,78500,,11,,7136.36,
04/07/2026,Viva Vale,Sureste,Veracruz Centro,Orizaba,78500,63500,15000,11,1,5772.73,15000
01/06/2026,Vale Amigo,Bajio,Tepic,Vallarta,78000,78000,,9,,8666.67,
01/06/2026,Vale Amigo,Noreste,Saltillo/Nuevo Leon,Cadereyta,78000,78000,,9,,8666.67,
02/06/2026,Viva Vale,Pacifico,Mazatlan,Mazatlán Centro,78000,78000,,9,,8666.67,
06/06/2026,Vale Amigo,Chihuahua,Chihuahua Centro,Cuauhtemoc,78000,78000,,10,,7800,
06/06/2026,Vale Amigo,Pacifico,Sinaloa Centro,Guamuchil,78000,78000,,10,,7800,
09/06/2026,Vale Amigo,Pacifico,La Paz 2,La Paz 3,78000,55000,23000,10,2,5500,11500
09/06/2026,Vale Amigo,Pacifico,Sonora Norte 1,Magdalena,78000,78000,,12,,6500,
09/06/2026,Viva Vale,Pacifico,Sinaloa Centro,Culiacán Centro,78000,78000,,9,,8666.67,
12/06/2026,Vale Amigo,Bajio,Tepic,Mezcales,78000,78000,,9,,8666.67,
12/06/2026,Viva Vale,Noreste,Tampico,Tampico Centro,78000,78000,,10,,7800,
19/06/2026,Viva Vale,Noreste,Saltillo/Nuevo Leon,Saltillo,78000,63000,15000,8,1,7875,15000
23/06/2026,Viva Vale,Sureste,Tabasco Norte,Cardenas 2,78000,70000,8000,15,1,4666.67,8000
26/06/2026,Vale Amigo,Bajio,Zacatecas,Zacatecas,78000,63000,15000,9,1,7000,15000
26/06/2026,Viva Vale,Sureste,Veracruz Norte,Poza Rica 2,78000,78000,,12,,6500,
27/06/2026,Vale Amigo,Bajio,Sinaloa Sur 2,Santiago Ixcuintla,78000,33000,45000,6,3,5500,15000
27/06/2026,Viva Vale,Pacifico,Los Cabos,San Jose Del Cabo,78000,28000,50000,3,3,9333.33,16666.67
27/06/2026,Viva Vale,Sureste,Veracruz Sur,Coatzacoalcos 2,78000,54000,24000,11,2,4909.09,12000
29/06/2026,Vale Amigo,Pacifico,Sinaloa Sur 1,Costa Rica,78000,78000,,11,,7090.91,
29/06/2026,Viva Vale,Sureste,Veracruz Sur,Coatzacoalcos 2,78000,63000,15000,9,1,7000,15000
